Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Yes,1660.0,1232.0,721.0,23.0,52.0,2885.0,537.0,7440.0,3300.0,450.0,2200.0,70.0,78.0,18.1,12.0,7041.0,60.0
Yes,2186.0,1924.0,512.0,16.0,29.0,2683.0,1227.0,12280.0,6450.0,750.0,1500.0,29.0,30.0,12.2,16.0,10527.0,56.0
Yes,1428.0,1097.0,336.0,22.0,50.0,1036.0,99.0,11250.0,3750.0,400.0,1165.0,53.0,66.0,12.9,30.0,8735.0,54.0
Yes,417.0,349.0,137.0,60.0,89.0,510.0,63.0,12960.0,5450.0,450.0,875.0,92.0,97.0,7.7,37.0,19016.0,59.0
Yes,193.0,146.0,55.0,16.0,44.0,249.0,869.0,7560.0,4120.0,800.0,1500.0,76.0,72.0,11.9,2.0,10922.0,15.0
Yes,587.0,479.0,158.0,38.0,62.0,678.0,41.0,13500.0,3335.0,500.0,675.0,67.0,73.0,9.4,11.0,9727.0,55.0
Yes,353.0,340.0,103.0,17.0,45.0,416.0,230.0,13290.0,5720.0,500.0,1500.0,90.0,93.0,11.5,26.0,8861.0,63.0
Yes,1899.0,1720.0,489.0,37.0,68.0,1594.0,32.0,13868.0,4826.0,450.0,850.0,89.0,100.0,13.7,37.0,11487.0,73.0
Yes,1038.0,839.0,227.0,30.0,63.0,973.0,306.0,15595.0,4400.0,300.0,500.0,79.0,84.0,11.3,23.0,11644.0,80.0
Yes,582.0,498.0,172.0,21.0,44.0,799.0,78.0,10468.0,3380.0,660.0,1800.0,40.0,41.0,11.5,15.0,8991.0,52.0
Yes,1732.0,1425.0,472.0,37.0,75.0,1830.0,110.0,16548.0,5406.0,500.0,600.0,82.0,88.0,11.3,31.0,10932.0,73.0
Yes,2652.0,1900.0,484.0,44.0,77.0,1707.0,44.0,17080.0,4440.0,400.0,600.0,73.0,91.0,9.9,41.0,11711.0,76.0
Yes,1179.0,780.0,290.0,38.0,64.0,1130.0,638.0,9690.0,4785.0,600.0,1e3,60.0,84.0,13.3,21.0,7940.0,74.0
Yes,1267.0,1080.0,385.0,44.0,73.0,1306.0,28.0,12572.0,4552.0,400.0,400.0,79.0,87.0,15.3,32.0,9305.0,68.0
Yes,494.0,313.0,157.0,23.0,46.0,1317.0,1235.0,8352.0,3640.0,650.0,2449.0,36.0,69.0,11.1,26.0,8127.0,55.0
Yes,1420.0,1093.0,220.0,9.0,22.0,1018.0,287.0,8700.0,4780.0,450.0,1400.0,78.0,84.0,14.7,19.0,7355.0,69.0
Yes,4302.0,992.0,418.0,83.0,96.0,1593.0,5.0,19760.0,5300.0,660.0,1598.0,93.0,98.0,8.4,63.0,21424.0,100.0
Yes,1216.0,908.0,423.0,19.0,40.0,1819.0,281.0,10100.0,3520.0,550.0,1100.0,48.0,61.0,12.1,14.0,7994.0,59.0
Yes,1130.0,704.0,322.0,14.0,23.0,1586.0,326.0,9996.0,3090.0,900.0,1320.0,62.0,66.0,11.5,18.0,10908.0,46.0
No,3540.0,2001.0,1016.0,24.0,54.0,4190.0,1512.0,5130.0,3592.0,500.0,2e3,60.0,62.0,23.1,5.0,4010.0,34.0
Yes,713.0,661.0,252.0,25.0,44.0,712.0,23.0,15476.0,3336.0,400.0,1100.0,69.0,82.0,11.3,35.0,42926.0,48.0
No,7313.0,4664.0,1910.0,20.0,63.0,9940.0,1035.0,6806.0,2540.0,96.0,2e3,83.0,96.0,18.3,14.0,5854.0,70.0
Yes,619.0,516.0,219.0,20.0,51.0,1251.0,767.0,11208.0,4124.0,350.0,1615.0,55.0,65.0,12.7,25.0,6584.0,65.0
No,12809.0,10308.0,3761.0,24.0,49.0,22593.0,7585.0,7434.0,4850.0,700.0,2100.0,88.0,93.0,18.9,5.0,4602.0,48.0
Yes,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,3922.0,500.0,800.0,79.0,88.0,12.6,24.0,14579.0,54.0
No,1734.0,1729.0,951.0,12.0,52.0,3602.0,939.0,3460.0,2650.0,450.0,1e3,57.0,60.0,19.6,5.0,4739.0,48.0
Yes,2135.0,1700.0,491.0,23.0,59.0,1708.0,689.0,12e3,5920.0,500.0,500.0,93.0,93.0,13.8,30.0,7100.0,88.0
No,7548.0,6791.0,3070.0,25.0,57.0,16262.0,1716.0,6300.0,3933.0,600.0,1908.0,85.0,91.0,16.7,18.0,6642.0,69.0
Yes,662.0,513.0,257.0,12.0,30.0,2074.0,726.0,11902.0,4372.0,540.0,950.0,65.0,65.0,12.8,31.0,7836.0,58.0
Yes,1879.0,1658.0,497.0,36.0,69.0,1950.0,38.0,13353.0,4173.0,540.0,821.0,78.0,83.0,12.7,40.0,9220.0,71.0
Yes,761.0,725.0,306.0,21.0,58.0,1337.0,300.0,10990.0,3244.0,600.0,1021.0,66.0,70.0,10.4,30.0,6871.0,69.0
Yes,948.0,798.0,295.0,42.0,74.0,1120.0,15.0,11280.0,4342.0,400.0,1150.0,81.0,95.0,13.0,33.0,11361.0,71.0
Yes,627.0,556.0,172.0,16.0,40.0,777.0,538.0,9925.0,4135.0,750.0,1350.0,59.0,67.0,22.4,11.0,6523.0,48.0
Yes,602.0,483.0,206.0,21.0,47.0,958.0,466.0,8620.0,4100.0,400.0,2250.0,58.0,68.0,11.0,21.0,6136.0,65.0
Yes,1690.0,1366.0,662.0,30.0,61.0,2718.0,1460.0,10995.0,4410.0,1e3,1e3,68.0,74.0,17.6,20.0,8086.0,85.0
Yes,261.0,192.0,111.0,15.0,36.0,453.0,266.0,9690.0,4300.0,500.0,500.0,57.0,77.0,9.7,35.0,9337.0,71.0
Yes,1910.0,838.0,285.0,50.0,85.0,1004.0,15.0,19264.0,6206.0,750.0,750.0,98.0,98.0,10.4,30.0,13894.0,79.0
Yes,2496.0,1402.0,531.0,53.0,95.0,2121.0,69.0,17926.0,8124.0,600.0,850.0,83.0,93.0,10.3,33.0,12580.0,91.0
Yes,990.0,784.0,279.0,18.0,45.0,1811.0,3144.0,11290.0,5360.0,600.0,1800.0,76.0,78.0,12.6,11.0,9084.0,72.0
Yes,6075.0,5349.0,2367.0,34.0,66.0,9919.0,484.0,6450.0,3920.0,600.0,1346.0,71.0,76.0,18.5,38.0,7503.0,72.0
Yes,1163.0,850.0,348.0,23.0,56.0,878.0,519.0,12850.0,5400.0,400.0,800.0,78.0,89.0,12.2,30.0,8954.0,73.0
Yes,807.0,707.0,308.0,39.0,63.0,1198.0,605.0,8840.0,2950.0,750.0,1290.0,74.0,82.0,13.1,31.0,6668.0,84.0
Yes,632.0,494.0,129.0,17.0,36.0,709.0,131.0,9e3,4850.0,300.0,2480.0,78.0,85.0,13.2,10.0,7550.0,52.0
Yes,1220.0,974.0,481.0,28.0,67.0,1964.0,623.0,7800.0,3664.0,650.0,900.0,61.0,61.0,11.1,19.0,7614.0,49.0
Yes,1320.0,923.0,284.0,26.0,54.0,1085.0,81.0,16304.0,3616.0,355.0,715.0,87.0,95.0,11.1,26.0,12957.0,69.0
No,1208.0,877.0,546.0,12.0,36.0,3796.0,824.0,4425.0,2700.0,660.0,1800.0,57.0,62.0,19.6,16.0,3752.0,46.0
Yes,632.0,620.0,222.0,14.0,24.0,702.0,501.0,9550.0,3850.0,350.0,250.0,64.0,84.0,14.1,18.0,5922.0,58.0
Yes,519.0,327.0,114.0,25.0,53.0,457.0,2.0,21700.0,4100.0,600.0,500.0,35.0,59.0,10.1,33.0,16364.0,55.0
Yes,3466.0,2330.0,640.0,20.0,60.0,3095.0,1533.0,13800.0,5510.0,630.0,850.0,87.0,87.0,17.5,20.0,10941.0,82.0
Yes,1858.0,1221.0,480.0,37.0,68.0,1620.0,49.0,8050.0,3940.0,350.0,2375.0,80.0,80.0,16.3,17.0,10511.0,63.0
Yes,878.0,816.0,200.0,16.0,41.0,706.0,62.0,8740.0,3363.0,550.0,1700.0,62.0,68.0,11.6,29.0,7718.0,48.0
Yes,202.0,184.0,122.0,19.0,42.0,537.0,101.0,8540.0,3580.0,500.0,1400.0,61.0,80.0,8.8,32.0,8324.0,56.0
Yes,502.0,384.0,104.0,11.0,28.0,347.0,74.0,6200.0,2900.0,600.0,800.0,63.0,63.0,11.7,13.0,7623.0,35.0
Yes,1646.0,1150.0,542.0,12.0,30.0,2128.0,82.0,5188.0,3396.0,650.0,2500.0,48.0,48.0,13.8,9.0,6817.0,58.0
Yes,805.0,588.0,287.0,67.0,88.0,1376.0,207.0,11660.0,4325.0,400.0,900.0,74.0,79.0,14.0,34.0,8649.0,72.0
Yes,500.0,336.0,156.0,25.0,55.0,421.0,27.0,6500.0,2700.0,500.0,1e3,76.0,76.0,14.3,53.0,8377.0,51.0
No,6773.0,3028.0,1025.0,15.0,55.0,5847.0,946.0,7844.0,2948.0,500.0,1680.0,66.0,68.0,18.0,19.0,7041.0,75.0
Yes,377.0,358.0,181.0,15.0,30.0,653.0,129.0,7150.0,4350.0,450.0,1500.0,61.0,67.0,17.8,3.0,6259.0,53.0
Yes,692.0,514.0,209.0,20.0,50.0,760.0,81.0,9900.0,3990.0,400.0,900.0,76.0,71.0,13.3,19.0,9073.0,58.0
Yes,20192.0,13007.0,3810.0,45.0,80.0,14971.0,3113.0,18420.0,6810.0,475.0,1025.0,80.0,81.0,11.9,16.0,16836.0,72.0
Yes,3356.0,1019.0,418.0,76.0,100.0,1490.0,8.0,19030.0,5885.0,1495.0,875.0,93.0,96.0,11.2,52.0,20447.0,96.0
No,9251.0,7333.0,3076.0,14.0,45.0,13699.0,1213.0,7452.0,3352.0,600.0,1700.0,81.0,89.0,21.1,14.0,6918.0,67.0
Yes,443.0,330.0,151.0,5.0,36.0,453.0,42.0,14080.0,6270.0,500.0,900.0,57.0,80.0,10.2,21.0,15387.0,46.0
Yes,3767.0,3414.0,1061.0,30.0,58.0,4531.0,643.0,10870.0,4440.0,2e3,1522.0,75.0,81.0,14.4,21.0,7671.0,85.0
Yes,4186.0,2743.0,740.0,48.0,77.0,2819.0,62.0,19380.0,6750.0,410.0,1e3,90.0,97.0,9.8,24.0,17150.0,84.0
Yes,367.0,274.0,158.0,12.0,41.0,917.0,479.0,9592.0,5879.0,500.0,700.0,71.0,80.0,13.7,12.0,5935.0,49.0
Yes,1436.0,1228.0,1202.0,10.0,26.0,1320.0,822.0,4371.0,2370.0,500.0,2e3,62.0,62.0,12.6,10.0,4900.0,18.0
Yes,392.0,351.0,155.0,16.0,44.0,738.0,430.0,10260.0,3597.0,600.0,1500.0,39.0,66.0,13.1,26.0,8355.0,58.0
Yes,838.0,673.0,292.0,22.0,53.0,881.0,55.0,10265.0,4725.0,560.0,875.0,68.0,73.0,13.2,24.0,8655.0,82.0
Yes,7365.0,5402.0,4615.0,48.0,82.0,27378.0,1253.0,2340.0,3580.0,860.0,1220.0,76.0,76.0,20.5,40.0,7916.0,33.0
Yes,12586.0,3239.0,1462.0,87.0,95.0,5643.0,349.0,19528.0,5926.0,720.0,1100.0,99.0,100.0,7.6,39.0,20440.0,97.0
Yes,1465.0,810.0,313.0,71.0,95.0,1088.0,16.0,18165.0,6750.0,500.0,1200.0,100.0,100.0,12.3,49.0,17449.0,89.0
Yes,6548.0,3813.0,862.0,49.0,85.0,3316.0,31.0,18550.0,4750.0,800.0,1200.0,95.0,97.0,14.2,36.0,13675.0,93.0
Yes,860.0,688.0,285.0,32.0,70.0,1928.0,442.0,13306.0,3797.0,450.0,950.0,62.0,69.0,8.8,10.0,6333.0,78.0
Yes,2362.0,2037.0,700.0,40.0,68.0,2607.0,148.0,13130.0,4650.0,500.0,1600.0,77.0,81.0,10.9,29.0,9511.0,83.0
Yes,599.0,494.0,224.0,8.0,28.0,1035.0,446.0,10518.0,6250.0,300.0,300.0,59.0,76.0,16.5,36.0,7117.0,71.0
Yes,1011.0,604.0,213.0,17.0,42.0,693.0,868.0,8900.0,4600.0,425.0,1e3,87.0,96.0,13.9,25.0,7922.0,55.0
Yes,563.0,247.0,247.0,23.0,52.0,1427.0,432.0,12950.0,5300.0,612.0,576.0,72.0,74.0,12.4,17.0,8985.0,60.0
No,7811.0,3817.0,1650.0,47.0,73.0,12911.0,1404.0,7380.0,4877.0,612.0,2091.0,72.0,81.0,19.8,13.0,8453.0,59.0
No,4540.0,3294.0,1483.0,5.0,60.0,13494.0,1254.0,7706.0,4368.0,600.0,1926.0,90.0,90.0,21.2,8.0,7268.0,61.0
Yes,1784.0,1512.0,913.0,29.0,56.0,3401.0,136.0,10230.0,3710.0,400.0,1210.0,75.0,81.0,14.8,41.0,7786.0,81.0
Yes,2087.0,1339.0,657.0,20.0,54.0,3191.0,1204.0,7550.0,2790.0,600.0,500.0,77.0,77.0,21.8,34.0,3739.0,63.0
Yes,848.0,587.0,298.0,25.0,55.0,935.0,184.0,6060.0,3070.0,600.0,1300.0,62.0,66.0,17.7,13.0,5391.0,49.0
Yes,2853.0,2193.0,753.0,16.0,34.0,2978.0,434.0,10750.0,5340.0,400.0,1130.0,90.0,92.0,14.6,26.0,7972.0,64.0
Yes,1747.0,1382.0,449.0,34.0,66.0,1662.0,960.0,13050.0,4e3,500.0,800.0,64.0,69.0,12.1,27.0,9557.0,83.0
Yes,100.0,90.0,35.0,10.0,52.0,282.0,331.0,8400.0,2812.0,300.0,2134.0,10.0,50.0,12.1,24.0,7976.0,52.0
Yes,2694.0,1579.0,489.0,75.0,93.0,1870.0,12.0,19292.0,3957.0,550.0,550.0,81.0,93.0,10.4,60.0,17960.0,91.0
Yes,8728.0,5201.0,1191.0,60.0,89.0,4265.0,291.0,17900.0,5690.0,450.0,1250.0,86.0,93.0,9.2,31.0,24386.0,74.0
Yes,1160.0,991.0,352.0,19.0,55.0,1357.0,737.0,12200.0,3880.0,480.0,930.0,74.0,81.0,17.8,25.0,7666.0,79.0
Yes,1096.0,951.0,464.0,27.0,62.0,1776.0,239.0,8150.0,3150.0,400.0,500.0,61.0,62.0,13.6,16.0,6716.0,67.0
Yes,1616.0,1427.0,434.0,20.0,43.0,1405.0,580.0,13125.0,3775.0,500.0,1300.0,74.0,89.0,15.9,22.0,7364.0,62.0
Yes,3877.0,3156.0,713.0,71.0,93.0,3051.0,513.0,15700.0,4730.0,525.0,1460.0,95.0,95.0,2.9,29.0,19733.0,67.0
No,1257.0,940.0,363.0,9.0,22.0,1547.0,294.0,7656.0,4690.0,400.0,700.0,89.0,91.0,14.7,8.0,6318.0,79.0
Yes,1083.0,880.0,291.0,13.0,34.0,915.0,80.0,9270.0,4100.0,600.0,1860.0,75.0,82.0,13.5,27.0,8425.0,55.0
Yes,1754.0,1465.0,505.0,24.0,49.0,2159.0,211.0,13712.0,6408.0,526.0,1100.0,90.0,96.0,9.3,18.0,12751.0,75.0
Yes,3847.0,3433.0,527.0,9.0,35.0,1010.0,12.0,9384.0,4840.0,600.0,500.0,22.0,47.0,14.3,20.0,7697.0,118.0
Yes,776.0,607.0,198.0,25.0,58.0,791.0,764.0,14340.0,5285.0,500.0,1e3,58.0,83.0,11.7,39.0,10961.0,74.0
Yes,1307.0,1090.0,616.0,25.0,55.0,2196.0,82.0,7344.0,4410.0,570.0,1e3,50.0,52.0,15.3,34.0,6897.0,64.0
Yes,369.0,312.0,90.0,12.0,46.0,396.0,526.0,11400.0,5400.0,500.0,760.0,41.0,85.0,9.5,20.0,9583.0,24.0
Yes,495.0,434.0,210.0,35.0,55.0,775.0,44.0,8950.0,3490.0,600.0,1900.0,86.0,92.0,11.3,25.0,9685.0,66.0
Yes,601.0,396.0,203.0,1.0,20.0,525.0,323.0,11230.0,6643.0,2340.0,620.0,8.0,58.0,6.8,4.0,13025.0,47.0
Yes,1283.0,1113.0,401.0,31.0,65.0,1355.0,40.0,10938.0,3660.0,650.0,600.0,76.0,90.0,13.5,29.0,8444.0,67.0
No,4158.0,2532.0,902.0,6.0,24.0,6394.0,3881.0,5962.0,4444.0,500.0,985.0,69.0,73.0,16.7,4.0,4900.0,49.0
No,4681.0,4101.0,1436.0,10.0,35.0,8094.0,1596.0,4620.0,3288.0,300.0,2250.0,69.0,80.0,19.7,4.0,5501.0,50.0
No,2785.0,2011.0,1007.0,8.0,65.0,6507.0,898.0,7242.0,3603.0,654.0,1416.0,67.0,89.0,18.1,0.0,6413.0,51.0
Yes,174.0,146.0,88.0,8.0,29.0,1047.0,33.0,8300.0,3080.0,600.0,600.0,62.0,62.0,15.2,18.0,3365.0,58.0
Yes,1013.0,888.0,288.0,55.0,82.0,943.0,7.0,11850.0,4270.0,600.0,900.0,95.0,99.0,11.4,60.0,13118.0,74.0
Yes,959.0,771.0,351.0,23.0,48.0,1662.0,209.0,16624.0,5895.0,600.0,1100.0,72.0,80.0,12.8,6.0,12692.0,47.0
Yes,212.0,197.0,91.0,28.0,56.0,471.0,148.0,13500.0,5230.0,400.0,850.0,95.0,98.0,9.3,37.0,16095.0,52.0
Yes,342.0,254.0,126.0,25.0,64.0,518.0,232.0,10335.0,5015.0,700.0,850.0,71.0,71.0,8.3,29.0,7729.0,73.0
Yes,81.0,72.0,51.0,33.0,71.0,139.0,3.0,8730.0,3600.0,400.0,800.0,92.0,92.0,9.3,17.0,10922.0,58.0
Yes,880.0,520.0,224.0,16.0,42.0,1068.0,364.0,9300.0,3260.0,600.0,900.0,81.0,81.0,11.1,24.0,8129.0,63.0
No,883.0,766.0,428.0,3.0,37.0,2910.0,1749.0,7860.0,4750.0,525.0,1889.0,80.0,82.0,21.2,16.0,4639.0,48.0
Yes,1196.0,697.0,499.0,21.0,47.0,959.0,13.0,4412.0,2460.0,500.0,1e3,69.0,69.0,16.9,31.0,7083.0,21.0
Yes,1860.0,767.0,227.0,71.0,93.0,887.0,1.0,17e3,6010.0,500.0,850.0,99.0,99.0,9.6,52.0,18443.0,87.0
Yes,2887.0,2059.0,457.0,30.0,61.0,1928.0,296.0,17500.0,4200.0,500.0,950.0,94.0,95.0,10.5,35.0,11951.0,79.0
Yes,460.0,340.0,167.0,14.0,45.0,604.0,350.0,10740.0,3676.0,350.0,900.0,67.0,71.0,11.0,27.0,7963.0,74.0
Yes,2174.0,1953.0,557.0,35.0,68.0,2332.0,53.0,15960.0,5580.0,700.0,1300.0,95.0,95.0,15.8,32.0,11659.0,77.0
No,8065.0,5257.0,2301.0,37.0,65.0,11755.0,770.0,8116.0,3610.0,800.0,1618.0,82.0,88.0,18.0,17.0,7597.0,73.0
No,689.0,561.0,250.0,15.0,30.0,1125.0,422.0,7168.0,3689.0,600.0,1900.0,67.0,67.0,18.1,9.0,4417.0,46.0
Yes,1006.0,742.0,275.0,29.0,60.0,1127.0,205.0,13925.0,4390.0,500.0,2200.0,73.0,86.0,12.7,32.0,10141.0,67.0
Yes,604.0,452.0,295.0,15.0,47.0,690.0,222.0,9888.0,4502.0,400.0,1e3,64.0,77.0,12.1,39.0,8741.0,75.0
Yes,2848.0,1319.0,456.0,58.0,84.0,1720.0,35.0,18930.0,5590.0,500.0,1e3,83.0,94.0,10.2,41.0,15954.0,91.0
Yes,4856.0,2492.0,727.0,46.0,75.0,2649.0,25.0,19510.0,5565.0,500.0,750.0,95.0,98.0,10.5,45.0,15494.0,93.0
Yes,1432.0,888.0,317.0,29.0,58.0,1121.0,493.0,10860.0,5760.0,550.0,900.0,56.0,62.0,12.9,23.0,8604.0,96.0
No,4772.0,3140.0,1265.0,22.0,55.0,6851.0,1200.0,6120.0,3460.0,666.0,2316.0,73.0,78.0,17.2,18.0,4776.0,51.0
Yes,798.0,620.0,238.0,14.0,41.0,1165.0,1232.0,9800.0,4430.0,400.0,1150.0,46.0,46.0,11.1,35.0,6889.0,100.0
Yes,946.0,648.0,177.0,23.0,46.0,707.0,432.0,11790.0,5770.0,500.0,1e3,75.0,77.0,11.9,35.0,10015.0,83.0
Yes,344.0,264.0,97.0,11.0,42.0,500.0,331.0,12600.0,5520.0,630.0,2250.0,77.0,80.0,10.4,7.0,9773.0,43.0
Yes,457.0,356.0,177.0,35.0,61.0,667.0,1983.0,11180.0,5620.0,600.0,700.0,64.0,64.0,11.5,32.0,7477.0,75.0
Yes,938.0,864.0,511.0,29.0,62.0,1715.0,103.0,12247.0,4221.0,500.0,600.0,70.0,88.0,13.1,26.0,8847.0,72.0
Yes,511.0,411.0,186.0,23.0,51.0,1692.0,562.0,12224.0,4440.0,450.0,1e3,63.0,87.0,11.5,32.0,7315.0,77.0
Yes,444.0,359.0,122.0,34.0,53.0,493.0,968.0,10900.0,5250.0,380.0,1e3,68.0,70.0,11.4,23.0,9447.0,78.0
Yes,983.0,664.0,249.0,23.0,57.0,1698.0,894.0,9990.0,5666.0,800.0,1500.0,66.0,71.0,14.3,28.0,6084.0,64.0
Yes,546.0,447.0,189.0,16.0,42.0,873.0,683.0,11138.0,4138.0,600.0,1200.0,40.0,74.0,14.0,7.0,8820.0,80.0
Yes,141.0,118.0,55.0,12.0,21.0,201.0,173.0,8300.0,4850.0,450.0,1300.0,53.0,53.0,9.5,19.0,6936.0,76.0
Yes,672.0,596.0,278.0,29.0,60.0,1350.0,275.0,11844.0,3696.0,450.0,1146.0,54.0,76.0,11.6,33.0,8996.0,72.0
Yes,2994.0,1691.0,659.0,70.0,95.0,2675.0,22.0,18e3,6300.0,400.0,900.0,92.0,96.0,11.3,55.0,12138.0,95.0
No,7117.0,3106.0,1217.0,68.0,88.0,5186.0,134.0,11720.0,4298.0,600.0,800.0,89.0,92.0,12.1,31.0,9534.0,93.0
Yes,2100.0,1883.0,553.0,29.0,65.0,1704.0,1.0,16240.0,4690.0,500.0,500.0,84.0,96.0,11.1,43.0,14140.0,69.0
Yes,3207.0,1577.0,490.0,56.0,87.0,1892.0,7.0,17142.0,4190.0,450.0,1200.0,85.0,97.0,11.3,51.0,14664.0,84.0
No,9478.0,6312.0,2194.0,29.0,65.0,15646.0,1829.0,8412.0,4180.0,470.0,1800.0,87.0,89.0,19.2,10.0,7850.0,59.0
Yes,314.0,158.0,132.0,10.0,28.0,690.0,5346.0,8294.0,3700.0,400.0,900.0,87.0,87.0,15.3,2.0,5015.0,37.0
Yes,737.0,614.0,242.0,21.0,67.0,968.0,237.0,10425.0,3975.0,500.0,1500.0,61.0,77.0,14.7,34.0,8693.0,76.0
Yes,6756.0,1930.0,871.0,78.0,96.0,3376.0,55.0,18624.0,6664.0,550.0,300.0,97.0,98.0,5.9,21.0,30639.0,99.0
Yes,281.0,266.0,139.0,13.0,29.0,1049.0,181.0,10500.0,3750.0,450.0,950.0,69.0,75.0,12.8,18.0,6955.0,45.0
Yes,232.0,216.0,106.0,16.0,34.0,534.0,172.0,6900.0,3800.0,450.0,1825.0,67.0,76.0,12.1,9.0,6875.0,42.0
Yes,688.0,497.0,144.0,30.0,75.0,641.0,101.0,10800.0,4440.0,570.0,1515.0,55.0,60.0,13.1,13.0,8415.0,55.0
Yes,528.0,403.0,186.0,22.0,56.0,1168.0,145.0,9216.0,4191.0,400.0,1e3,56.0,64.0,12.1,13.0,7309.0,75.0
Yes,3035.0,1546.0,438.0,42.0,93.0,1630.0,232.0,18740.0,6300.0,600.0,500.0,86.0,95.0,10.7,40.0,14773.0,91.0
Yes,440.0,407.0,149.0,35.0,70.0,643.0,80.0,12050.0,3700.0,500.0,900.0,63.0,76.0,10.2,31.0,10965.0,75.0
Yes,1538.0,1329.0,383.0,33.0,68.0,1140.0,10.0,15248.0,4323.0,550.0,800.0,71.0,76.0,12.2,31.0,10340.0,64.0
Yes,2967.0,2836.0,876.0,30.0,60.0,3450.0,644.0,10628.0,4372.0,650.0,2055.0,85.0,90.0,6.5,32.0,22906.0,85.0
Yes,1576.0,1110.0,274.0,24.0,55.0,992.0,112.0,8e3,3700.0,400.0,500.0,51.0,52.0,14.1,28.0,5807.0,51.0
Yes,995.0,789.0,398.0,26.0,47.0,1306.0,122.0,6230.0,3526.0,400.0,600.0,42.0,44.0,13.0,4.0,8189.0,63.0
